,team_member_id,department,years_employeed,employee_level,team_leader,access_level
8364,8364,Human Resources,-1,associate,0,level_3
24101,24101,,9,N/A,0,level_3
28733,28733,Operation Research,1,N/A,0,level_5
13138,13138,,4,,0,level_5
6093,6093,Product Management,2,junior,1,
21367,21367,,1,specialist,0,
3042,3042,N/A,999,junior,0,level_5
614,614,Product Management,1,N/A,0,level_1
10637,10637,Human Resources,9,junior,0,
28780,28780,Human Resources,0,specialist,0,level_2
16128,16128,,7,N/A,0,level_2
662,662,Data Science,7,N/A,0,level_3
11831,11831,N/A,8,senior,1,level_3
3579,3579,,999,,0,
5888,5888,Customer Support,9,junior,0,level_2
6401,6401,IT,1,junior,0,level_3
9683,9683,,7,specialist,0,level_2
773,773,Product Management,2,associate,1,level_1
26124,26124,Customer Support,9,specialist,0,level_1
12017,12017,Customer Support,5,,0,level_3
23368,23368,,9,associate,0,level_3
2117,2117,Human Resources,6,specialist,0,level_1
7775,7775,,3,,1,level_5
3041,3041,Product Management,0,,0,level_4
11358,11358,Customer Support,2,N/A,0,level_2
10024,10024,Human Resources,9,associate,0,level_2
22944,22944,IT,1,senior,0,level_3
17048,17048,Product Management,6,junior,0,N/A
27826,27826,Customer Support,7,,0,level_1
12563,12563,N/A,4,N/A,0,level_3
293,293,Human Resources,9,,0,level_5
2533,2533,,6,N/A,0,
29109,29109,Product Management,8,junior,1,N/A
16180,16180,,5,specialist,0,level_5
4907,4907,IT,3,specialist,0,level_3
9124,9124,IT,3,senior,0,level_4
8318,8318,Data Science,4,associate,0,N/A
14734,14734,Customer Support,-1,senior,0,
15957,15957,N/A,8,senior,0,N/A
26526,26526,Data Science,999,associate,0,level_4
5535,5535,IT,4,specialist,0,N/A
14988,14988,N/A,9,associate,0,level_5
19807,19807,Product Management,6,specialist,0,
12743,12743,Data Science,0,,0,level_3
15026,15026,Operation Research,2,associate,0,level_1
12098,12098,,0,associate,0,level_1
23009,23009,Human Resources,2,junior,1,level_5
18521,18521,,6,N/A,0,level_3
26575,26575,Data Science,0,junior,1,level_3
21843,21843,Data Science,8,senior,1,N/A
25461,25461,Human Resources,4,,0,level_1
18833,18833,Customer Support,4,specialist,0,level_3
15478,15478,Data Science,3,senior,0,N/A
13619,13619,Operation Research,6,senior,0,N/A
15857,15857,,6,specialist,0,
7415,7415,N/A,7,specialist,0,level_4
11466,11466,Product Management,2,junior,0,level_5
16109,16109,,3,,0,level_1
27518,27518,Customer Support,9,junior,0,level_4
23341,23341,Product Management,9,associate,0,level_1
19787,19787,Customer Support,1,specialist,0,level_5
69,69,Operation Research,0,,0,level_2
26646,26646,Data Science,5,N/A,1,N/A
3686,3686,Data Science,8,,0,level_4
29784,29784,Customer Support,2,N/A,0,level_1
25652,25652,Human Resources,3,specialist,0,level_3
8154,8154,,3,N/A,0,level_1
27799,27799,,8,,0,
2898,2898,Human Resources,-1,specialist,0,level_4
23218,23218,IT,5,associate,0,N/A
17649,17649,Customer Support,2,N/A,0,level_1
11978,11978,Data Science,3,junior,0,level_1
29926,29926,,0,associate,0,level_1
16287,16287,N/A,4,junior,0,level_4
2152,2152,Human Resources,1,specialist,0,level_4
9046,9046,N/A,1,specialist,0,level_5
231,231,,999,N/A,0,level_2
11027,11027,Product Management,3,N/A,0,N/A
22724,22724,Product Management,5,senior,1,
13345,13345,,1,,0,N/A
466,466,Operation Research,999,senior,0,level_3
28947,28947,Operation Research,0,N/A,0,level_5
19106,19106,Data Science,2,N/A,0,level_2
15520,15520,,-1,associate,0,level_2
9985,9985,IT,1,associate,0,level_3
21171,21171,Operation Research,2,,0,level_4
24807,24807,Operation Research,7,specialist,0,
16437,16437,,8,associate,0,level_1
20913,20913,Human Resources,4,specialist,0,level_3
26714,26714,Product Management,3,N/A,0,
20153,20153,,-1,senior,0,level_1
25943,25943,Customer Support,9,N/A,0,level_1
156,156,N/A,2,,0,level_5
23520,23520,N/A,4,N/A,0,level_2
27566,27566,Operation Research,9,junior,0,level_4
1879,1879,,2,junior,0,level_3
7132,7132,,7,senior,0,level_5
26532,26532,Product Management,9,junior,0,
14875,14875,IT,6,specialist,0,level_2
26339,26339,N/A,8,junior,0,level_1
21739,21739,N/A,3,junior,0,N/A
19821,19821,Human Resources,9,specialist,1,level_1
22803,22803,N/A,-1,associate,0,level_3
25946,25946,Operation Research,9,associate,0,level_3
27239,27239,,0,senior,0,level_4
22849,22849,N/A,8,specialist,0,level_2
15949,15949,Customer Support,999,,0,level_1
7035,7035,Operation Research,8,senior,0,level_5
25419,25419,Data Science,9,specialist,0,N/A
2439,2439,Human Resources,999,,0,
4539,4539,,2,junior,0,level_3
1699,1699,N/A,0,junior,0,level_5
7300,7300,Operation Research,3,N/A,0,level_3
8841,8841,Data Science,9,specialist,0,
3463,3463,IT,6,senior,1,N/A
1221,1221,Human Resources,7,,0,level_4
29341,29341,N/A,2,,0,level_2
5218,5218,Human Resources,6,junior,0,level_2
12413,12413,,2,associate,0,level_4
16164,16164,,9,junior,0,level_4
5977,5977,IT,-1,associate,0,level_1
21635,21635,,4,junior,0,level_5
27492,27492,,4,junior,0,level_4
13191,13191,Customer Support,8,specialist,0,level_3
11850,11850,Data Science,0,senior,1,level_5
24398,24398,IT,7,junior,0,level_3
13575,13575,N/A,6,N/A,0,level_5
12724,12724,Human Resources,2,associate,0,level_5
16459,16459,Customer Support,999,junior,0,
28330,28330,IT,7,junior,0,
15988,15988,Data Science,5,junior,1,level_5
28435,28435,N/A,2,associate,0,level_1
23197,23197,Customer Support,9,junior,0,level_1
9999,9999,,0,N/A,0,level_1
25800,25800,,-1,associate,0,level_3
12665,12665,Human Resources,999,senior,0,level_4
8061,8061,N/A,6,N/A,1,level_1
19894,19894,N/A,0,senior,0,
28653,28653,Data Science,7,specialist,0,N/A
13509,13509,Data Science,3,associate,0,level_3
25453,25453,Data Science,1,associate,0,level_4
6775,6775,N/A,9,N/A,0,level_2
14656,14656,N/A,1,associate,0,level_2
11972,11972,,-1,,0,level_1
3637,3637,Data Science,4,N/A,0,level_5
4386,4386,IT,7,associate,0,level_3
20599,20599,N/A,2,junior,0,
16561,16561,,5,junior,0,
11426,11426,,8,junior,0,
10638,10638,Customer Support,2,junior,0,level_1
18162,18162,Customer Support,0,senior,0,level_1
27478,27478,Product Management,8,N/A,0,level_5
11360,11360,Product Management,7,N/A,1,
13967,13967,Human Resources,0,specialist,0,level_5
25493,25493,Product Management,8,N/A,1,level_3
13511,13511,Data Science,5,associate,0,N/A
7637,7637,Product Management,5,specialist,0,level_1
14510,14510,,8,,0,level_5
25347,25347,,4,junior,0,level_3
20126,20126,Operation Research,8,associate,0,level_1
26583,26583,Data Science,8,specialist,0,level_3
7562,7562,Customer Support,0,associate,0,level_4
1761,1761,Operation Research,9,associate,0,N/A
23984,23984,,0,associate,0,level_1
9479,9479,Product Management,1,associate,0,level_5
18945,18945,Operation Research,3,junior,0,level_3
204,204,Product Management,5,associate,0,level_3
23622,23622,N/A,6,associate,0,level_5
29506,29506,Human Resources,2,associate,1,level_2
21139,21139,Customer Support,6,N/A,0,level_2
7968,7968,Data Science,0,,0,level_2
4031,4031,,9,,0,level_4
19563,19563,,9,associate,0,level_1
6667,6667,Product Management,3,N/A,0,level_1
2633,2633,Customer Support,6,specialist,0,level_5
19801,19801,N/A,6,associate,1,level_4
16165,16165,Data Science,0,senior,0,
265,265,,9,junior,0,level_1
13319,13319,N/A,7,,0,level_4
23902,23902,N/A,2,N/A,0,N/A
28845,28845,IT,8,specialist,0,level_3
15487,15487,Data Science,3,senior,0,level_4
24737,24737,Data Science,6,junior,0,level_2
9738,9738,Operation Research,5,associate,0,level_1
9635,9635,IT,7,N/A,0,N/A
21071,21071,Human Resources,5,associate,0,level_5
18238,18238,Operation Research,6,,0,level_2
12741,12741,Human Resources,3,junior,0,N/A
2109,2109,Product Management,5,N/A,1,level_5
7390,7390,N/A,5,associate,0,level_3
17550,17550,Human Resources,0,senior,1,
14402,14402,Operation Research,5,senior,0,level_1
24742,24742,Data Science,5,,0,
19527,19527,IT,7,specialist,0,N/A
10414,10414,N/A,1,junior,0,
12398,12398,Product Management,7,specialist,0,N/A
27101,27101,,5,N/A,1,level_1
26413,26413,IT,8,associate,0,level_3
21532,21532,Human Resources,3,senior,1,
1709,1709,N/A,8,specialist,0,level_2
10626,10626,Operation Research,3,junior,1,level_2
9668,9668,Operation Research,8,associate,0,level_2
28367,28367,Operation Research,1,associate,1,level_1
21329,21329,Product Management,8,senior,0,N/A
4595,4595,IT,6,N/A,0,level_4
10393,10393,Customer Support,9,junior,1,level_2
4325,4325,Product Management,8,junior,0,level_2
17468,17468,Product Management,9,senior,0,level_5
18331,18331,IT,8,specialist,1,level_4
8522,8522,Data Science,5,specialist,0,level_3
15413,15413,Data Science,3,junior,1,level_5
2806,2806,Product Management,7,junior,0,
8595,8595,Product Management,2,associate,0,N/A
3559,3559,Customer Support,2,junior,0,level_5
14040,14040,N/A,3,,0,level_5
2975,2975,Operation Research,9,specialist,1,level_4
29593,29593,Product Management,9,junior,0,level_5
26329,26329,IT,5,associate,0,level_2
28079,28079,IT,3,,0,level_2
6737,6737,Data Science,4,junior,0,
29746,29746,N/A,0,,0,
21370,21370,IT,5,junior,0,level_3
14099,14099,Operation Research,1,junior,0,level_1
17778,17778,IT,5,senior,0,level_5
17319,17319,Customer Support,-1,N/A,0,level_4
1074,1074,Operation Research,5,specialist,1,level_4
10267,10267,Product Management,4,,1,level_5
7917,7917,,2,N/A,0,level_1
10074,10074,,0,,1,N/A
5307,5307,Product Management,7,associate,1,N/A
4471,4471,Operation Research,5,senior,0,level_3
19649,19649,Product Management,3,,0,level_1
15771,15771,Data Science,2,specialist,0,level_3
29271,29271,,5,specialist,0,N/A
4421,4421,Product Management,4,N/A,0,level_5
16994,16994,Product Management,4,junior,0,level_4
22509,22509,Human Resources,4,,0,level_4
14982,14982,Customer Support,9,N/A,0,
27483,27483,Product Management,7,,0,level_2
1565,1565,Data Science,7,specialist,0,level_4
25207,25207,Customer Support,0,,0,N/A
11286,11286,N/A,7,specialist,0,N/A
1445,1445,Operation Research,2,N/A,0,level_5
13456,13456,IT,6,junior,0,level_2
1880,1880,IT,6,associate,0,N/A
11697,11697,Customer Support,2,,0,level_2
24395,24395,Human Resources,9,specialist,1,
29004,29004,Product Management,4,N/A,1,
14001,14001,Data Science,9,specialist,0,
9818,9818,,2,associate,1,level_1
1941,1941,Data Science,5,specialist,0,level_5
23617,23617,Operation Research,9,senior,0,level_2
3462,3462,,0,specialist,0,
11591,11591,,4,junior,0,level_3
18258,18258,Product Management,9,junior,0,level_1
7131,7131,Product Management,7,senior,0,level_3
15111,15111,Customer Support,999,,1,level_1
26942,26942,Human Resources,6,N/A,0,N/A
3772,3772,Product Management,-1,N/A,0,N/A
5466,5466,,999,senior,0,level_2
1220,1220,Customer Support,3,specialist,0,level_4
21163,21163,Customer Support,8,,0,
7818,7818,Operation Research,3,junior,0,level_4
17793,17793,IT,8,senior,0,
10380,10380,Operation Research,7,specialist,0,level_5
25205,25205,Data Science,1,,0,level_3
22174,22174,Product Management,4,associate,0,level_3
6922,6922,Operation Research,8,senior,0,level_5
10270,10270,,4,N/A,0,level_2
20159,20159,IT,4,junior,1,level_5
24858,24858,Customer Support,9,,0,level_1
3337,3337,Human Resources,999,associate,0,level_2
29124,29124,IT,2,,0,level_3
13222,13222,N/A,7,,0,level_5
28195,28195,N/A,7,,0,level_1
1444,1444,Data Science,1,specialist,1,level_1
1852,1852,N/A,7,,0,
9869,9869,IT,3,associate,0,N/A
18348,18348,Human Resources,5,senior,1,
27439,27439,Product Management,6,junior,0,level_4
16836,16836,N/A,9,junior,1,
13498,13498,N/A,5,N/A,0,
7821,7821,Customer Support,6,N/A,0,N/A
266,266,N/A,-1,N/A,0,level_1
12857,12857,Customer Support,-1,,0,level_5
7762,7762,Data Science,-1,senior,0,
3433,3433,Data Science,8,N/A,0,level_1
9552,9552,,5,specialist,0,
14963,14963,Data Science,6,specialist,0,level_4
19241,19241,Operation Research,4,,0,level_4
23177,23177,Human Resources,4,N/A,0,level_5
19197,19197,Operation Research,8,associate,0,N/A
29937,29937,Product Management,4,associate,0,N/A
17392,17392,Data Science,6,,0,level_1
9977,9977,N/A,999,specialist,0,level_3
27303,27303,,999,specialist,0,
6370,6370,N/A,999,specialist,0,N/A
14542,14542,Operation Research,9,associate,0,level_1
13425,13425,,9,N/A,0,level_1
10173,10173,Product Management,4,associate,0,level_1
4925,4925,Data Science,9,N/A,0,level_2
18568,18568,Data Science,4,associate,0,level_3
4188,4188,Product Management,3,N/A,0,level_4
23526,23526,N/A,9,specialist,0,level_4
10163,10163,,2,associate,0,level_5
6993,6993,Product Management,8,specialist,0,
18986,18986,Product Management,2,associate,0,N/A
24743,24743,IT,7,senior,1,level_1
50,50,IT,-1,N/A,0,N/A
26467,26467,Human Resources,0,associate,0,
2884,2884,Operation Research,6,,1,level_1
7080,7080,Data Science,4,junior,0,level_1
2948,2948,Human Resources,1,specialist,1,level_5
3927,3927,Human Resources,7,associate,0,level_3
26477,26477,Operation Research,2,senior,0,level_4
13436,13436,Operation Research,4,N/A,0,N/A
15281,15281,Human Resources,3,,0,level_1
19425,19425,Operation Research,2,,0,level_2
21715,21715,Operation Research,999,,0,level_3
21314,21314,Customer Support,8,junior,1,
21694,21694,N/A,5,senior,0,N/A
16800,16800,Data Science,999,,0,level_5
18283,18283,Human Resources,1,senior,0,level_4
21127,21127,N/A,3,N/A,0,level_3
20339,20339,Data Science,6,specialist,0,
10174,10174,N/A,2,junior,1,level_1
27786,27786,Product Management,1,associate,1,
17047,17047,N/A,7,associate,0,level_2
21825,21825,Operation Research,3,junior,0,level_5
3061,3061,Customer Support,3,junior,1,level_3
8867,8867,Customer Support,3,junior,0,level_5
9266,9266,N/A,9,junior,1,level_3
28390,28390,Data Science,4,specialist,0,level_3
29932,29932,N/A,7,junior,0,
4892,4892,Data Science,7,senior,0,level_5
29544,29544,Customer Support,7,junior,1,level_3
1628,1628,Operation Research,6,senior,0,
1104,1104,Customer Support,6,,0,level_1
26406,26406,Customer Support,9,associate,0,
1651,1651,N/A,5,associate,0,
24189,24189,Customer Support,5,senior,0,N/A
29771,29771,Data Science,5,,0,N/A
6948,6948,IT,3,senior,0,level_1
14871,14871,Operation Research,9,specialist,0,level_2
8198,8198,Data Science,6,N/A,0,level_4
27347,27347,Human Resources,7,specialist,0,
2171,2171,Human Resources,5,,0,level_3
11703,11703,Product Management,0,associate,0,level_5
89,89,Product Management,6,junior,0,level_3
2826,2826,IT,0,associate,0,level_3
15114,15114,Customer Support,0,associate,0,
20938,20938,Product Management,1,senior,0,level_4
11416,11416,,8,junior,0,level_3
28445,28445,Human Resources,3,N/A,0,
17404,17404,Data Science,6,,0,level_2
10158,10158,N/A,4,senior,0,level_4
18936,18936,,3,senior,0,level_1
23153,23153,IT,6,N/A,0,level_2
4710,4710,Product Management,6,associate,0,level_4
23859,23859,Data Science,0,senior,1,level_3
25489,25489,,7,N/A,0,level_3
16815,16815,Operation Research,5,N/A,0,N/A
8379,8379,Human Resources,-1,,0,level_2
19380,19380,Data Science,1,senior,0,N/A
26239,26239,IT,1,associate,0,level_1
7467,7467,N/A,2,junior,0,level_3
29802,29802,Product Management,2,associate,1,level_4
3977,3977,Human Resources,6,specialist,0,level_4
11598,11598,IT,1,junior,0,
19518,19518,Operation Research,3,senior,0,
8743,8743,Data Science,0,senior,0,level_2
5115,5115,IT,0,,0,level_4
5040,5040,,999,,0,N/A
18022,18022,Operation Research,4,N/A,0,
1401,1401,Customer Support,7,,0,level_1
15191,15191,Customer Support,9,senior,0,level_1
4252,4252,Operation Research,2,associate,0,level_4
11495,11495,Operation Research,1,associate,1,level_1
29980,29980,Product Management,5,associate,0,N/A
3794,3794,Product Management,9,specialist,0,level_5
18289,18289,N/A,5,N/A,0,level_1
10889,10889,N/A,3,associate,0,level_5
14295,14295,Human Resources,4,senior,0,N/A
5112,5112,Operation Research,9,,0,N/A
1344,1344,Customer Support,2,associate,0,level_1
23760,23760,Operation Research,6,associate,0,level_2
7814,7814,Operation Research,4,junior,0,level_2
10775,10775,Product Management,0,junior,1,level_2
15500,15500,Product Management,5,specialist,0,level_4
10801,10801,Human Resources,4,specialist,0,level_4
10988,10988,IT,9,,0,level_3
10341,10341,N/A,4,junior,0,level_2
29275,29275,Operation Research,2,associate,0,level_1
251,251,Customer Support,8,,0,level_1
2019,2019,N/A,1,junior,1,level_1
22734,22734,IT,0,N/A,0,level_4
9317,9317,,7,N/A,0,level_1
21323,21323,Data Science,8,,0,
23880,23880,Operation Research,1,senior,0,level_3
7328,7328,,1,,0,level_1
27367,27367,,2,associate,0,level_4
1068,1068,N/A,3,specialist,1,level_5
14535,14535,,4,senior,0,level_1
16227,16227,N/A,1,N/A,0,N/A
9297,9297,Product Management,6,,1,
2938,2938,Human Resources,3,associate,0,level_2
22525,22525,,4,junior,0,level_5
21261,21261,Product Management,9,senior,0,level_2
29439,29439,Operation Research,2,junior,1,level_3
28698,28698,,7,associate,1,level_1
26926,26926,,5,specialist,1,level_3
20835,20835,Product Management,9,senior,0,N/A
15384,15384,Customer Support,6,junior,0,level_4
14855,14855,Operation Research,9,associate,0,level_3
17750,17750,N/A,2,junior,0,level_4
6277,6277,Product Management,2,senior,0,level_5
5576,5576,Product Management,3,junior,0,level_4
12238,12238,Product Management,0,,0,level_5
13627,13627,,0,associate,1,level_2
27045,27045,Product Management,4,junior,0,
14814,14814,IT,7,specialist,0,level_3
4965,4965,Data Science,2,N/A,0,level_5
28520,28520,N/A,9,junior,0,level_2
29338,29338,Data Science,9,,0,level_4
17393,17393,IT,5,junior,0,
15792,15792,Data Science,3,associate,0,
20357,20357,Data Science,2,junior,0,level_4
798,798,IT,7,N/A,0,level_4
2404,2404,Human Resources,9,junior,1,level_5
8847,8847,N/A,4,associate,0,N/A
12992,12992,Operation Research,0,senior,0,level_4
18483,18483,Customer Support,7,,0,level_5
28852,28852,Customer Support,2,,0,level_2
12902,12902,N/A,5,senior,0,level_3
7058,7058,Human Resources,5,specialist,0,
2612,2612,IT,7,senior,0,level_2
19012,19012,N/A,9,associate,0,level_4
14641,14641,Operation Research,0,associate,0,level_1
25348,25348,Human Resources,9,N/A,0,N/A
26311,26311,IT,999,associate,0,level_2
117,117,IT,-1,junior,0,N/A
17172,17172,N/A,999,associate,1,level_5
3483,3483,IT,8,,0,level_5
23915,23915,,7,associate,0,level_5
2235,2235,,6,senior,1,level_3
22001,22001,,4,junior,1,level_1
822,822,Product Management,0,junior,0,
19307,19307,Operation Research,7,N/A,0,level_4
21016,21016,Data Science,8,senior,0,level_2
11079,11079,Operation Research,7,senior,0,level_1
2206,2206,IT,8,specialist,0,level_4
28053,28053,IT,8,specialist,1,N/A
26453,26453,IT,4,senior,0,level_1
29727,29727,Product Management,3,N/A,0,level_4
7232,7232,Customer Support,2,junior,1,level_2
901,901,Human Resources,9,senior,1,N/A
11186,11186,,-1,senior,0,
22013,22013,N/A,4,specialist,0,level_5
12216,12216,IT,1,specialist,0,level_2
19488,19488,N/A,5,,0,level_3
5237,5237,N/A,4,N/A,0,level_3
27150,27150,Customer Support,2,specialist,0,level_3
535,535,Operation Research,4,specialist,0,N/A
20753,20753,,3,specialist,0,level_3
17558,17558,N/A,5,N/A,0,level_1
20645,20645,Human Resources,2,,0,level_3
2766,2766,IT,4,senior,1,level_5
19001,19001,Human Resources,6,N/A,0,level_5
19050,19050,Customer Support,3,associate,0,level_2
25337,25337,N/A,2,junior,0,level_4
6852,6852,Human Resources,2,associate,1,level_1
240,240,Operation Research,-1,N/A,1,level_5
27362,27362,Operation Research,8,associate,0,level_4
10311,10311,IT,5,senior,0,level_1
11806,11806,Product Management,4,associate,0,level_3
5057,5057,Operation Research,5,N/A,0,N/A
19040,19040,,5,senior,0,level_1
16927,16927,IT,8,specialist,0,level_3
13521,13521,Customer Support,9,N/A,1,level_2
5497,5497,Human Resources,8,senior,0,level_5
25530,25530,Data Science,6,associate,0,
4900,4900,N/A,4,senior,0,level_1
14597,14597,Data Science,3,N/A,0,level_2
23204,23204,Data Science,0,junior,0,level_2
3886,3886,IT,8,N/A,0,level_2
13160,13160,Product Management,1,junior,0,level_3
16778,16778,Human Resources,2,junior,0,
12169,12169,N/A,3,senior,0,level_4
7759,7759,Human Resources,1,specialist,0,level_3
5093,5093,IT,4,junior,0,
2834,2834,Human Resources,1,senior,1,
10292,10292,,2,associate,1,level_2
17848,17848,Customer Support,4,specialist,0,level_3
12911,12911,IT,1,senior,1,N/A
20471,20471,IT,6,associate,0,level_2
21349,21349,Human Resources,2,senior,0,
7537,7537,Customer Support,2,N/A,0,level_2
2868,2868,Human Resources,3,specialist,1,level_1
4094,4094,Customer Support,7,senior,0,level_1
12858,12858,Product Management,3,junior,0,level_3
21413,21413,Data Science,999,specialist,0,level_1
2315,2315,Operation Research,1,,0,N/A
4957,4957,Data Science,2,specialist,1,N/A
28057,28057,Operation Research,7,associate,0,level_3
6689,6689,Customer Support,8,senior,0,level_5
20028,20028,Operation Research,8,specialist,0,level_1
20221,20221,N/A,-1,senior,0,level_1
8893,8893,Customer Support,4,junior,0,level_3
17201,17201,Data Science,3,specialist,0,
27840,27840,N/A,6,specialist,0,level_4
8184,8184,IT,7,associate,0,level_3
25148,25148,,7,,0,level_5
14390,14390,Customer Support,999,N/A,0,level_1
16168,16168,Customer Support,6,specialist,0,level_1
22190,22190,IT,-1,,0,level_2
9802,9802,Product Management,9,junior,0,level_1
12175,12175,N/A,2,senior,0,level_2
7376,7376,Human Resources,0,,0,level_1
9712,9712,Human Resources,-1,junior,0,level_5
20868,20868,IT,6,senior,0,level_4
19499,19499,Data Science,3,specialist,0,level_1
1561,1561,,0,,0,level_1
27903,27903,Data Science,1,associate,0,level_4
19683,19683,IT,2,junior,0,level_3
20183,20183,,8,,0,level_2
14266,14266,IT,8,specialist,0,level_5
14336,14336,Human Resources,999,specialist,0,level_4
2182,2182,Operation Research,0,,1,N/A
5456,5456,Human Resources,8,,0,level_3
20463,20463,Product Management,0,specialist,0,level_4
24168,24168,,1,associate,1,level_1
23095,23095,,0,,0,level_4
27471,27471,Product Management,5,,0,level_5
21805,21805,Product Management,6,senior,0,N/A
6773,6773,N/A,3,specialist,0,level_5
20297,20297,Operation Research,0,,0,level_3
7404,7404,N/A,-1,senior,0,level_5
604,604,Data Science,8,specialist,0,N/A
25582,25582,Data Science,9,specialist,0,level_1
5480,5480,,2,specialist,0,level_3
29068,29068,N/A,3,N/A,0,level_5
20175,20175,IT,1,senior,0,level_5
16441,16441,Human Resources,3,specialist,0,N/A
24593,24593,N/A,0,,0,N/A
10117,10117,Human Resources,3,,1,level_4
29093,29093,N/A,7,N/A,1,level_4
23259,23259,IT,8,associate,0,level_5
26778,26778,Product Management,5,N/A,0,level_3
14478,14478,N/A,1,,0,level_3
5646,5646,Product Management,5,senior,0,N/A
1335,1335,IT,6,junior,0,
11216,11216,Data Science,9,,0,level_1
5644,5644,Customer Support,8,,0,level_2
26878,26878,IT,0,N/A,0,N/A
1873,1873,Data Science,1,senior,0,level_5
2006,2006,N/A,1,,0,level_2
27010,27010,N/A,5,specialist,1,level_3
23155,23155,Data Science,5,,0,
6259,6259,Customer Support,8,specialist,0,N/A
8909,8909,N/A,2,,0,level_4
